"cluster","month","day","ave_occupancy","predicted"
4,7,22,0.406268074223396,0.350370580987668
4,7,23,0.401639239316776,0.395771269653739
4,7,24,0.406536024553964,0.398408958586762
4,7,25,0.413608795553581,0.396350222641623
4,7,26,0.462502744561832,0.46715699917982
4,7,27,0.435949697890016,0.490536873931167
4,7,29,0.370648345473067,0.350370580987668
4,7,30,0.398995281713139,0.395771269653739
4,7,31,0.415876748982427,0.398408958586762
4,8,1,0.428926777412789,0.396350222641623
4,8,2,0.481571915649141,0.46715699917982
4,8,3,0.487914872273924,0.490536873931167
4,8,5,0.399631764353567,0.350370580987668
4,8,6,0.422529723945981,0.395771269653739
4,8,7,0.409552218480038,0.398408958586762
4,8,8,0.407447057784143,0.396350222641623
4,8,9,0.489216937095255,0.46715699917982
4,8,10,0.506645764146485,0.490536873931167
4,8,12,0.365808729256681,0.350370580987668
4,8,13,0.398831802929119,0.395771269653739
4,8,14,0.414168747316005,0.398408958586762
4,8,15,0.424096500892705,0.396350222641623
4,8,16,0.446435516733084,0.46715699917982
4,8,17,0.494891096122593,0.490536873931167
4,8,19,0.36817117764927,0.350370580987668
4,8,20,0.388254359199153,0.395771269653739
4,8,21,0.407021332458947,0.398408958586762
4,8,22,0.414718842863409,0.396350222641623
4,8,23,0.467527536079315,0.46715699917982
4,8,24,0.507038834425127,0.490536873931167
4,8,26,0.358808310813917,0.350370580987668
4,8,27,0.359200536180561,0.395771269653739
4,8,28,0.450083510476385,0.398408958586762
4,8,29,0.420836807658929,0.396350222641623
4,8,30,0.488392028382163,0.46715699917982
4,8,31,0.514565135378665,0.490536873931167
4,9,2,0,0.350370580987668
4,9,3,0.427567683231809,0.395771269653739
4,9,4,0.43470610041256,0.398408958586762
4,9,5,0.442213066992986,0.396350222641623
4,9,6,0.513717466756545,0.46715699917982
4,9,7,0.570688488341408,0.490536873931167
4,9,9,0.431644532320279,0.350370580987668
4,9,10,0.426235612074316,0.395771269653739
4,9,11,0.452829721805389,0.398408958586762
4,9,12,0.403829187310951,0.396350222641623
4,9,13,0.51374970833086,0.46715699917982
4,9,14,0.52861846445716,0.490536873931167
4,9,16,0.431199263253303,0.350370580987668
4,9,17,0.419995919415508,0.395771269653739
4,9,18,0.439218837059066,0.398408958586762
4,9,19,0.432638827827497,0.396350222641623
4,9,20,0.47037656485943,0.46715699917982
4,9,21,0.529594565616411,0.490536873931167
4,9,23,0.408472908571497,0.350370580987668
